TT	PID	AT	CT	IO_D	WT	RT	TRT
16346	1053	12037	179	0	4130	255	4309
16349	1300	16213	120	0	16	4	136
16384	330	1088	190	12	15106	1467	15296
16391	1163	13896	150	0	2345	1527	2495
16458	861	8608	230	0	7620	286	7850
16461	1257	15613	30	0	818	818	848
16465	355	1178	123	29	15164	2738	15287
16535	1263	15673	67	0	795	462	862
16567	377	1264	34	0	15269	160	15303
16598	299	980	195	9	15423	2422	15618
16601	1316	16514	82	0	5	1	87
16621	1255	15557	150	0	914	185	1064
16649	794	7336	220	0	9093	865	9313
16769	1266	15726	148	0	895	895	1043
16788	1102	12991	192	0	3605	372	3797
16845	337	1106	155	17	15584	2812	15739
16877	962	10338	237	0	6302	1766	6539
16897	998	11023	123	0	5751	244	5874
16899	363	1204	50	10	15645	864	15695
16911	394	1333	36	18	15542	1761	15578
16940	1327	16700	224	0	16	4	240
16968	1334	16930	21	0	17	17	38
16973	325	1072	214	30	15687	95	15901
17022	353	1174	211	17	15637	572	15848
17032	340	1123	300	17	15609	627	15909
17045	350	1165	281	6	15599	1	15880
17061	1302	16225	29	0	807	807	836
17108	923	9592	245	0	7271	771	7516
17216	1318	16530	187	0	499	140	686
17230	1272	15776	17	0	1437	610	1454
17232	361	1198	139	15	15895	1426	16034
17252	1295	16105	179	0	968	956	1147
17258	1345	17116	115	0	27	23	142
17261	1351	17168	61	0	32	32	93
17338	1268	15756	109	0	1473	929	1582
17397	356	1180	185	0	16032	371	16217
17414	1354	17190	154	0	70	62	224
17429	1325	16678	206	0	545	220	751
17436	320	1050	194	17	16192	1307	16386
17518	1260	15650	124	0	1744	376	1868
17528	358	1187	247	17	16094	1881	16341
17556	1364	17348	180	0	28	8	208
17564	315	1034	298	21	16232	138	16530
17597	345	1145	99	27	16353	56	16452
17622	349	1160	248	14	16214	389	16462
17654	364	1209	88	0	16357	349	16445
17655	1108	13071	237	0	4347	145	4584
17655	384	1292	10	25	16353	343	16363
17692	362	1201	209	14	16282	438	16491
17738	375	1252	295	13	16191	79	16486
17739	381	1278	31	8	16430	576	16461
17764	354	1177	270	11	16317	542	16587
17804	378	1266	114	0	16424	137	16538
17844	1317	16516	80	0	1248	955	1328
17853	399	1348	12	14	16493	2124	16505
17887	502	2283	259	0	15345	654	15604
17895	893	8998	207	0	8690	501	8897
17900	373	1239	184	19	16477	1204	16661
17937	385	1297	75	17	16565	2403	16640
17945	341	1129	235	0	16581	2127	16816
17957	1388	17755	197	0	5	1	202
18019	1189	14575	148	0	3296	103	3444
18088	372	1232	148	17	16708	3408	16856
18108	1358	17278	221	0	609	610	830
18182	1401	18059	113	0	10	2	123
18226	386	1298	60	10	16868	1416	16928
18231	329	1084	201	11	16946	1251	17147
18238	365	1211	176	0	16851	596	17027
18250	1001	11081	233	0	6936	372	7169
18264	379	1271	220	15	16773	102	16993
18298	359	1193	248	9	16857	941	17105
18353	352	1172	106	11	17075	425	17181
18354	476	1715	263	0	16376	1920	16639
18442	344	1143	133	10	17166	74	17299
18463	1333	16928	163	0	1372	172	1535
18471	370	1224	119	20	17128	231	17247
18508	351	1167	248	17	17093	200	17341
18548	1417	18311	219	0	18	2	237
18555	391	1324	132	5	17099	179	17231
18579	392	1329	266	8	16984	531	17250
18581	1227	15194	228	0	3159	45	3387
18581	1415	18302	2	0	277	277	279
18621	1433	18518	67	0	36	36	103
18628	374	1246	268	6	17114	1227	17382
18635	1431	18473	127	0	35	35	162
18710	1438	18567	107	0	36	32	143
18750	957	10288	173	0	8289	1069	8462
18758	1409	18183	115	0	460	333	575
18772	1297	16139	132	0	2501	88	2633
18785	369	1220	169	14	17396	1538	17565
18804	1395	17867	203	0	734	714	937
18815	1223	15095	31	0	3689	46	3720
18848	1267	15746	42	0	3060	1045	3102
18913	380	1275	174	20	17464	108	17638
18938	396	1334	132	19	17472	754	17604
18958	1449	18773	145	0	40	32	185
18969	750	6642	250	0	12077	744	12327
19008	331	1093	245	19	17670	763	17915
19052	1464	18999	16	0	37	33	53
19065	348	1156	270	11	17639	325	17909
19087	382	1283	227	5	17577	1650	17804
19104	335	1106	274	20	17724	1147	17998
19174	336	1106	294	20	17774	229	18068
19187	763	6807	224	0	12156	1288	12380
19225	1466	19015	208	0	2	2	210
19228	1463	18977	36	0	215	68	251
19269	383	1286	231	14	17752	1273	17983
19289	395	1333	234	22	17722	844	17956
19372	1459	18957	137	0	278	60	415
19376	1428	18430	91	0	855	351	946
19377	1371	17465	2	0	1910	300	1912
19404	389	1311	201	11	17892	1030	18093
19416	387	1303	117	36	17996	1	18113
19417	559	3097	257	0	16063	646	16320
19460	1134	13499	102	0	5859	290	5961
19469	371	1226	269	18	17974	1111	18243
19497	376	1259	275	13	17963	2	18238
19555	1480	19363	174	0	18	6	192
19588	1365	17359	211	0	2018	173	2229
19609	1429	18434	25	0	1150	454	1175
19632	633	4329	242	0	15061	463	15303
19664	1407	18101	188	0	1375	1000	1563
19734	1477	19309	125	0	300	300	425
19774	897	9098	218	0	10458	536	10676
19802	1486	19582	190	0	30	10	220
19845	398	1342	264	19	18239	754	18503
19856	745	6548	254	0	13054	702	13308
19937	1484	19401	197	0	339	64	536
19953	1202	14811	172	0	4970	411	5142
20006	393	1331	211	15	18464	1283	18675
20015	1481	19380	162	0	473	465	635
20077	449	1058	259	0	18760	629	19019
20090	390	1318	163	7	18609	1	18772
20095	397	1337	265	14	18493	3266	18758
